name,id,tags,planetary,decivRemove,script,desc,icon,order
Ancient Religious Landmark,US_religious,,TRUE,,data.scripts.campaign.econ.US_religious,"$market was a significant religious destination for pilgrims before the Collapse. Some sites still stand today, and their rediscovery is likely to attract a flock of Luddic immigrants and enhance local commerce.",graphics/icons/markets/US_religious.png,10
Floating Continent,US_floating,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Vast structures were built in $market's upper atmosphere before the Collapse, providing much-needed landmass for colonization. While most of the buildings upon them have been irreparably damaged by time, winds and storms, the platforms themselves were built to last and can still be used today.",graphics/icons/markets/US_floating.png,10
Crashed Terraforming Drone,US_crash,,TRUE,,data.scripts.campaign.econ.US_crash,"While most of $market has an extremely harsh environment, a crashed terraforming drone has managed to maintain a habitable oasis around itself. However, the habitable area is limited and will not extend far enough for a large colony, should one be established on this planet.",graphics/icons/markets/US_crash.png,10
Old Space Accelerator,US_elevator,,TRUE,,data.scripts.campaign.econ.US_elevator,"$market is home to a space accelerator, offering a cost-effective means to reach low planetary orbit. Although they demand more infrastructure work than spaceports and are not as adept at handling substantial freight, they can be situated much closer to a settlement, enhancing local commerce.",graphics/icons/markets/US_accelerator.png,10
Underground Network,US_tunnels,,TRUE,,data.scripts.campaign.econ.US_tunnels,"$market has been exploited by mining drones in the past, resulting in a vast network of crisscrossing tunnels that extend deep inside its crust. While the risk of tunnel collapse is ever-present in the volatile regions closer to the planet's core, surface tunnels can be easily sealed, providing a protective barrier for a colony against environmental hazards.",graphics/icons/markets/US_tunnels.png,10
Accessible Sub-Ice Bedrock,US_bedrock,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Some areas of $market have a stable ice sheet thin enough to allow digging down to the actual bedrock of the planet. This enables the establishment of underground colonies that can access vast deposits of groundwater or use geothermal power plants to generate energy, with the mantle of ice above shielding them from harm.",graphics/icons/markets/US_bedrock.png,10
,,,,,,,,
Chemical Crystals,US_crystals,,TRUE,,data.scripts.campaign.econ.US_crystals,The extreme conditions on $market allowed for the growth of sprawling crystalline structures. Gullible bourgeoisie and collectors will pay a high price for pieces of these fascinating spectacles.,graphics/icons/markets/US_crystals.png,10
,,,,,,,,
Unique Condition,US_unique_filter,planet_search,,,data.scripts.campaign.econ.US_unique_filter,Internal condition for filtering unique planets.,graphics/icons/markets/US_unique_filter.png,1000
